code,name,지방세징수율제고노력도,지방세체납액축소노력도,경상세외수입확충노력도,세외수입체납액축소노력도,탄력세율적용노력도,인건비절감노력도,지방의회경비절감노력도,업무추진비절감노력도,행사축제경비절감노력도,민간이전경비절감노력도
25,대전 서구,1.0028 ,-0.4405 ,0.9989 ,-0.2237 ,0.9856 ,-0.0138 ,0.1194 ,0.0951 ,-0.0305 ,0.0205 
25,대전 동구,1.0061 ,0.0125 ,1.0116 ,-0.0697 ,0.9824 ,0.0737 ,0.0579 ,0.3330 ,0.1705 ,0.0109 
25,대전 대덕구,0.9904 ,-0.5916 ,1.0242 ,0.0130 ,0.9887 ,-0.0323 ,0.2427 ,0.2699 ,-0.0977 ,-0.0906 
22,대구 중구,1.0035 ,-0.5229 ,1.0619 ,-0.0373 ,0.9943 ,-0.0026 ,0.2343 ,0.2265 ,-0.1487 ,-0.2454 
22,대구 수성구,1.0043 ,-0.2792 ,0.9985 ,-0.0360 ,0.9887 ,0.0368 ,0.0042 ,0.1969 ,0.0429 ,0.1060 
22,대구 서구,1.0006 ,-0.2142 ,1.0026 ,-0.0350 ,0.9834 ,0.0625 ,0.1279 ,0.3345 ,-0.7249 ,-0.0371 
22,대구 북구,1.0013 ,-0.1067 ,1.0235 ,-0.0855 ,0.9865 ,0.0796 ,0.1593 ,0.3789 ,-0.0266 ,0.0463 
22,대구 동구,1.0055 ,-0.0973 ,1.0503 ,-0.0684 ,0.9859 ,0.0191 ,0.0812 ,0.2330 ,0.1671 ,-0.0701 
22,대구 달성군,1.0079 ,-0.0463 ,1.1356 ,-0.1667 ,0.9966 ,0.0452 ,0.3157 ,0.1544 ,-0.1147 ,-0.0086 
22,대구 달서구,1.0027 ,-0.3259 ,1.0563 ,-0.0485 ,0.9883 ,0.0434 ,0.0585 ,0.3009 ,-0.0982 ,-0.0006 
22,대구 남구,1.0000 ,-0.1458 ,1.0141 ,-0.0391 ,0.9777 ,0.0111 ,0.2208 ,0.4271 ,-0.3601 ,-0.0831 
24,광주 서구,1.0102 ,-0.0573 ,1.0205 ,-0.0679 ,0.9876 ,0.0208 ,0.1207 ,0.1374 ,0.0224 ,-0.0262 
24,광주 북구,1.0080 ,-0.0487 ,0.9988 ,-0.1785 ,0.9817 ,0.0195 ,0.0857 ,0.1413 ,0.1636 ,-0.0776 
24,광주 동구,1.0135 ,-0.3512 ,1.0216 ,-0.0780 ,0.9875 ,0.0183 ,0.1361 ,0.1736 ,0.3813 ,0.0285 
24,광주 남구,1.0099 ,0.0685 ,1.0229 ,-0.1168 ,0.9801 ,0.0338 ,0.0676 ,0.1498 ,0.1111 ,-0.1001 
